group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
2;;;1;1246;2;166;0.891666667;0.6;851;2;Oct - Dec 2008;2014;5.366187543;6.39835729;0.95;0.55;0.4;0.2;0.6;643.53;668.18;1134;931;1201.67
3;0. ??;T1;1;1247;2;166;0.991666667;0.75;777;2;Oct - Dec 2008;2015;5.35797399;6.450376454;1;0.9;0.7;0.8;0.6;510.85;622;974.21;1002.38;936.67
3;0;;1;1248;2;166;0.991666667;0.5;700;2;Oct - Dec 2008;2015;5.80698152;6.6091718;1;1;1;1;1;594;725.05;954.75;903.2;1006.3
3;;;1;1251;2;166;0.925;0.75;882.59;1;Jan - March 2008 (Wave 1);2014;5.242984257;6.450376454;0.9;0.8;0.75;0.8;0.7;741.89;1159.13;1285.4;1290.13;1280
3;;T2;1;1253;2;166;0.966666667;0.9;1015.25;1;Jan - March 2008 (Wave 1);2014;5.377138946;6.527036277;0.9;0.95;0.9;0.9;0.9;844.61;1016.21;1150.89;1184.67;1117.11
3;;;1;1254;2;166;0.991666667;0.575;717.4;1;Jan - March 2008 (Wave 1);2014;5.467488022;6.379192334;0.95;0.95;0.95;1;0.9;542.89;937.79;1064.26;1056.7;1072.67
3;;;1;1256;2;166;0.95;0.7;739.61;1;Jan - March 2008 (Wave 1);2014;5.478439425;6.324435318;0.95;1;0.45;0.5;0.4;560.37;691.4;1304.22;1364.4;1229
3;only 1 run;;1;1257;2;81;0.982758621;0.35;719;1;Jan - March 2008 (Wave 1);2014;5.546885695;6.392881588;0.9;0.9;0.9;0.9;0.9;505.5;651.67;1026.44;1065.67;987.22
3;;;1;1258;2;166;0.975;0.525;696;1;Jan - March 2008 (Wave 1);2014;5.549623546;6.362765229;1;0.8;0.8;0.8;0.8;405.95;531.63;911.31;896.88;925.75
3;;;1;1259;2;166;0.883333333;0.35;700;2;Jan - March 2009;2015;5.223819302;6.390143737;0.95;0.8;0.85;0.8;0.9;507.95;668;1026.24;1080.13;978.33
3;BUTTON BOX error at run1;out!;1;1260;2;166;0.858333333;0.925;1080;2;Jan - March 2009;2015;5.204654346;6.343600274;0.95;1;0.3;0.2;0.4;726.84;823.6;739.83;836;691.75
3;;;1;1262;2;166;0.741666667;0.8;943;2;Jan - March 2009;2015;5.196440794;6.291581109;0.95;0.65;0.5;0.6;0.4;749.84;867.23;1125.1;1113;1143.25
3;;;1;1263;2;166;0.883333333;0.75;869;2;Jan - March 2009;2015;5.32238193;6.357289528;1;0.9;0.85;0.8;0.9;796.9;1068.39;1368.53;1322.5;1409.44
3;;;1;1266;2;166;0.95;0.75;832;2;Jan - March 2009;2015;5.204654346;6.288843258;1;1;0.8;0.9;0.7;830.8;992.3;1280.56;1222.56;1355.14
3;;;1;1270;2;166;0.916666667;0.35;648;2;Jan - March 2009;2015;5.637234771;6.417522245;1;1;0.9;0.9;0.9;473.6;635.7;1105.39;1180.11;1030.67
3;;;2;1119;1;166;1;0.95;911.64;2;Jan - March 2008 (Wave 2);2014;5.0862423;7.312799452;1;0.95;0.95;0.9;1;466.15;722.32;1069.11;1115.67;1027.2
3;;;2;1120;1;166;0.841666667;0.8;690.02;2;Jan - March 2008 (Wave 2);2014;5.171115674;7.26899384;1;0.9;0.9;0.9;0.9;434.95;544.44;876.94;946.33;807.56
3;;;2;1121;1;166;1;0.55;614;2;Jan - March 2008 (Wave 2);2014;5.26146475;7.430527036;1;0.95;0.9;0.8;1;350.1;463.37;823.44;821;825.4
3;;;2;1123;1;166;0.975;0.45;636.61;2;Jan - March 2008 (Wave 2);2014;5.360027379;7.143052704;1;1;1;1;1;306.25;379.05;646.8;652.6;641
2;;;2;1131;1;166;0.991666667;0.825;760;1;Oct - Dec 2007;2013;5.35523614;6.46954141;1;1;0.9;0.8;1;558.9;712.4;1006.22;894.88;1095.3
2;often not pressed at T2;;2;1133;1;166;0.566666667;0.75;854;1;Oct - Dec 2007;2013;5.379876797;6.516084873;1;0.95;0.95;0.9;1;524.05;512.84;1055.32;1081.11;1032.1
3;0;T1;2;1134;1;166;0.983333333;0.775;810;1;Oct - Dec 2007;2014;5.319644079;6.450376454;1;0.9;0.75;0.9;0.6;579.9;841.61;1102.67;1115.22;1083.83
2;;;2;1135;1;166;0.991666667;0.75;760;1;Oct - Dec 2007;2013;5.470225873;6.488706366;1;0.9;0.8;0.8;0.8;402.6;540.89;893.81;792.63;995
2;;;2;1136;1;166;0.933333333;0.6;790;1;Oct - Dec 2007;2013;5.505817933;6.548939083;1;0.8;0.7;0.6;0.8;471.45;613;973;964.5;979.38
2;take only run1;T1 run 2;2;1137;1;166;0.966666667;0.875;974;1;Oct - Dec 2007;2013;5.650924025;6.488706366;1;1;0.55;0.6;0.5;670.45;830;1158.91;907.5;1460.6
3;0;;2;1138;1;;;;;1;Oct - Dec 2007;2014;5.626283368;6.636550308;0.95;0.85;0.8;0.7;0.9;652.58;781.29;1208.63;1057.71;1326
2;;;2;1139;1;166;0.991666667;0.375;780;1;Oct - Dec 2007;2013;5.741273101;6.685831622;0.9;0.8;0.8;0.7;0.9;451.89;647.44;1030.25;1004.71;1050.11
2;;;2;1140;1;166;0.975;0.75;733;1;Oct - Dec 2007;2013;5.724845996;6.625598905;1;0.95;1;1;1;580.05;851.26;1224;1291.2;1156.8
3;0;T1;2;1142;1;166;0.9;0.7;905.38;2;Oct - Dec 2008;2015;5.338809035;6.351813826;0.9;0.9;1;1;1;482.83;651.89;935.2;978.2;892.2
3;0;;2;1143;1;166;0.666666667;0.975;910.85;2;Oct - Dec 2008;2015;5.338809035;6.351813826;0.7;0.9;0.95;1;0.9;952.86;1037.5;1043.63;1032.9;1055.56
2;;;2;1144;1;166;0.891666667;0.825;1048.02;2;Oct - Dec 2008;2014;5.442847365;6.518822724;1;1;0.9;0.9;0.9;557.2;664.55;1093.94;1076.33;1111.56
2;;;2;1145;1;166;0.933333333;0.55;748.44;2;Oct - Dec 2008;2014;5.467488022;6.483230664;1;0.9;0.85;0.9;0.8;482.1;687.94;875.82;862.22;891.13
